ID,Richness,year
-28_563229,26,2009
-28_563229,27,2012
-28_563229,25,2014
0_488139,10,2008
0_490840,12,2009
0_491679,7,2008
0_492378,6,2008
0_492398,6,2007
0_501609,3,2012
0_532652,6,2007
0_537456,8,2007
0_555107,8,2009
0_555636,6,2012
0_558433,2,2009
0_675467,11,2012
0_679678,5,2012
0_684106,10,2012
0_684108,3,2012
0_684118,3,2012
0_684122,7,2012
0_684130,3,2012
0_684340,8,2012
0_687597,2,2012
0_689806,3,2012
1_487841,5,2004
1_487841,4,2005
1_487841,6,2006
1_487841,4,2007
1_487841,6,2008
1_487842,2,2004
1_487842,4,2005
1_487842,5,2006
1_487842,3,2007
1_487842,8,2008
1_487843,9,2004
1_487843,7,2005
1_487843,12,2006
1_487843,8,2007
1_487843,8,2008
1_487844,10,2004
1_487844,7,2005
1_487844,9,2006
1_487844,5,2007
1_487844,6,2008
1_487845,7,2004
1_487845,7,2005
1_487845,6,2006
1_487845,8,2007
1_487845,7,2008
1_487845,9,2011
1_487845,8,2014
1_487846,6,2004
1_487846,6,2005
1_487846,6,2006
1_487846,7,2007
1_487846,8,2008
1_487847,6,2004
1_487847,4,2005
1_487847,6,2006
1_487847,2,2007
1_487847,3,2008
1_487848,8,2004
1_487848,7,2005
1_487848,7,2006
1_487848,8,2007
1_487848,8,2008
1_487849,0,2004
1_487849,0,2005
1_487849,1,2006
1_487849,0,2007
1_487849,2,2008
1_487850,4,2004
1_487850,5,2005
1_487850,3,2006
1_487850,3,2007
1_487850,3,2008
1_487851,7,2004
1_487851,3,2005
1_487851,4,2006
1_487851,4,2007
1_487851,5,2008
1_487851,6,2011
1_487851,4,2014
1_487852,11,2004
1_487852,5,2005
1_487852,8,2006
1_487852,6,2007
1_487852,9,2008
1_487853,8,2004
1_487853,5,2005
1_487853,6,2006
1_487853,7,2007
1_487853,8,2008
1_487854,10,2004
1_487854,8,2005
1_487854,9,2006
1_487854,9,2007
1_487854,9,2008
1_487855,9,2004
1_487855,9,2005
1_487855,9,2006
1_487855,10,2007
1_487855,9,2008
1_487856,8,2004
1_487856,10,2005
1_487856,10,2006
1_487856,6,2007
1_487856,10,2008
1_487857,3,2004
1_487857,4,2005
1_487857,3,2006
1_487857,4,2007
1_487857,3,2008
1_487858,9,2004
1_487858,7,2005
1_487858,8,2006
1_487858,7,2007
1_487858,10,2008
1_487859,9,2005
1_487859,9,2006
1_487859,6,2007
1_487859,7,2008
1_487860,8,2004
1_487860,7,2005
1_487860,8,2006
1_487860,9,2007
1_487860,11,2008
1_487861,5,2004
1_487861,8,2005
1_487861,11,2006
1_487861,9,2007
1_487861,10,2008
1_487861,10,2011
1_487861,9,2014
1_487862,4,2004
1_487862,4,2005
1_487862,6,2006
1_487862,6,2007
1_487863,7,2004
1_487863,5,2005
1_487863,9,2006
1_487863,10,2007
1_487863,9,2008
1_487864,5,2004
1_487864,6,2005
1_487864,7,2006
1_487864,9,2007
1_487864,9,2008
1_487864,12,2011
1_487864,10,2014
1_487865,6,2004
1_487865,6,2005
1_487865,8,2006
1_487865,6,2007
1_487865,8,2008
1_487866,5,2004
1_487866,7,2005
1_487866,10,2006
1_487866,7,2007
1_487866,11,2008
1_487867,7,2004
1_487867,10,2005
1_487867,9,2006
1_487867,10,2007
1_487867,11,2008
1_487868,2,2004
1_487868,6,2005
1_487868,6,2006
1_487868,7,2007
1_487868,9,2008
1_487869,8,2004
1_487869,5,2005
1_487869,6,2006
1_487869,9,2007
1_487869,8,2008
1_487870,3,2004
1_487870,4,2005
1_487870,2,2006
1_487870,5,2007
1_487870,8,2008
1_487871,6,2004
1_487871,8,2005
1_487871,7,2006
1_487871,8,2007
1_487871,9,2008
1_487871,9,2011
1_487871,10,2014
1_487872,6,2004
1_487872,7,2005
1_487872,8,2006
1_487872,6,2007
1_487872,9,2008
1_487873,8,2004
1_487873,6,2005
1_487873,7,2006
1_487873,7,2007
1_487873,8,2008
1_487874,0,2004
1_487874,3,2005
1_487874,2,2006
1_487874,3,2007
1_487874,2,2008
1_487875,7,2004
1_487875,5,2005
1_487875,6,2006
1_487875,6,2007
1_487875,8,2008
1_487875,6,2011
1_487875,5,2014
1_487876,7,2004
1_487876,6,2005
1_487876,6,2006
1_487876,6,2007
1_487876,10,2008
1_487877,0,2004
1_487877,2,2005
1_487877,0,2006
1_487877,3,2007
1_487877,2,2008
1_487878,7,2004
1_487878,6,2005
1_487878,8,2006
1_487878,10,2007
1_487878,11,2008
1_487879,9,2004
1_487879,7,2005
1_487879,7,2006
1_487879,8,2007
1_487879,8,2008
1_487880,5,2004
1_487880,8,2005
1_487880,9,2006
1_487880,7,2007
1_487880,8,2008
1_487881,5,2004
1_487881,5,2005
1_487881,8,2006
1_487881,8,2007
1_487881,9,2008
1_487881,9,2011
1_487881,11,2014
1_487882,6,2004
1_487882,9,2005
1_487882,8,2006
1_487882,10,2007
1_487882,9,2008
1_487883,8,2004
1_487883,7,2005
1_487883,6,2006
1_487883,8,2007
1_487883,9,2008
1_487884,4,2004
1_487884,5,2005
1_487884,3,2006
1_487884,7,2008
1_487885,4,2004
1_487885,4,2005
1_487885,5,2006
1_487885,5,2007
1_487885,8,2008
1_487886,6,2004
1_487886,7,2005
1_487886,9,2006
1_487886,6,2007
1_487886,7,2008
1_487887,0,2004
1_487887,1,2005
1_487887,0,2006
1_487887,1,2007
1_487887,1,2008
1_487888,5,2004
1_487888,3,2005
1_487888,3,2006
1_487888,5,2007
1_487888,5,2008
1_487889,8,2004
1_487889,10,2005
1_487889,10,2006
1_487889,5,2007
1_487889,9,2008
1_487890,8,2004
1_487890,8,2005
1_487890,9,2006
1_487890,9,2007
1_487890,9,2008
1_487890,11,2011
1_487890,13,2014
1_487891,1,2004
1_487891,3,2005
1_487891,0,2006
1_487891,0,2007
1_487891,0,2008
1_487892,7,2004
1_487892,7,2005
1_487892,8,2006
1_487892,9,2007
1_487892,8,2008
1_487893,6,2004
1_487893,6,2005
1_487893,7,2006
1_487893,9,2007
1_487893,9,2008
1_487894,10,2004
1_487894,7,2005
1_487894,10,2006
1_487894,11,2007
1_487894,9,2008
1_487894,11,2011
1_487894,10,2014
1_487895,1,2004
1_487895,3,2005
1_487895,3,2006
1_487895,0,2007
1_487895,1,2008
1_487896,11,2004
1_487896,5,2005
1_487896,9,2006
1_487896,10,2007
1_487896,10,2008
1_487897,11,2004
1_487897,10,2005
1_487897,11,2006
1_487897,9,2007
1_487897,9,2008
1_487897,10,2011
1_487897,11,2014
1_487898,3,2004
1_487898,7,2005
1_487898,7,2006
1_487898,7,2007
1_487898,4,2008
1_487899,2,2004
1_487899,6,2005
1_487899,4,2006
1_487899,2,2007
1_487899,5,2008
1_487900,6,2004
1_487900,6,2005
1_487900,3,2006
1_487900,6,2007
1_487900,4,2008
2_487901,0,2004
2_487901,6,2005
2_487901,5,2006
2_487901,6,2007
2_487901,3,2008
2_487901,7,2011
2_487901,7,2014
2_487902,3,2004
2_487902,5,2005
2_487902,6,2007
